systime,senderId,receiverId,channelFreq,channelBw,rssiMean,dataRateMean,nBytesReceived
1548778993,ap3,w3,2462,20,-100.000000,0.000000,0
1548778993,ap2,m1,5190,40,-100.000000,0.000000,0
1548778993,ap4,w1,5230,40,-100.000000,0.000000,0
1548778993,ap1,w2,2437,20,-100.000000,0.000000,0
1548778994,ap3,w3,2462,20,-100.000000,0.000000,0
1548778994,ap2,m1,5190,40,-57.819378,150.021938,3940017
1548778994,ap4,w1,5230,40,-100.000000,0.000000,0
1548778994,ap1,w2,2437,20,-100.000000,0.000000,0
1548778995,ap3,w3,2462,20,-100.000000,0.000000,0
1548778995,ap2,m1,5190,40,-57.122663,144.396597,3852750
1548778995,ap4,w1,5230,40,-100.000000,0.000000,0
1548778995,ap1,w2,2437,20,-100.000000,0.000000,0
1548778996,ap3,w3,2462,20,-100.000000,0.000000,0
1548778996,ap2,m1,5190,40,-100.000000,0.000000,0
1548778996,ap4,w1,5230,40,-100.000000,0.000000,0
1548778996,ap1,w2,2437,20,-100.000000,0.000000,0
1548778997,ap3,w3,2462,20,-100.000000,0.000000,0
1548778997,ap2,m1,5190,40,-100.000000,0.000000,0
1548778997,ap4,w1,5230,40,-100.000000,0.000000,0
1548778997,ap1,w2,2437,20,-100.000000,0.000000,0
1548778998,ap3,w3,2462,20,-100.000000,0.000000,0
1548778998,ap2,m1,5190,40,-100.000000,0.000000,0
1548778998,ap4,w1,5230,40,-100.000000,0.000000,0
1548778998,ap1,w2,2437,20,-100.000000,0.000000,0
1548778999,ap3,w3,2462,20,-100.000000,0.000000,0
1548778999,ap2,m1,5190,40,-100.000000,0.000000,0
1548778999,ap4,w1,5230,40,-100.000000,0.000000,0
1548778999,ap1,w2,2437,20,-49.709677,67.159245,565092
1548779000,ap3,w3,2462,20,-100.000000,0.000000,0
1548779000,ap2,m1,5190,40,-56.574394,150.000000,1248797
1548779000,ap4,w1,5230,40,-100.000000,0.000000,0
1548779000,ap1,w2,2437,20,-50.570470,71.866091,3727280
1548779001,ap3,w3,2462,20,-100.000000,0.000000,0
1548779001,ap2,m1,5190,40,-56.553691,150.000000,6266295
1548779001,ap4,w1,5230,40,-100.000000,0.000000,0
1548779001,ap1,w2,2437,20,-50.572414,71.103743,3387227
1548779002,ap3,w3,2462,20,-100.000000,0.000000,0
1548779002,ap2,m1,5190,40,-56.608022,150.016408,6324900
1548779002,ap4,w1,5230,40,-100.000000,0.000000,0
