,client-id,data-rate,data-volume,dst-addr,dst-port,interval-end,interval-start,jitter,pckt-lost,pckt-total,protocol,src-addr,src-port
0,m1,31700000.0,7550000.0,10.10.15.248,56184,1548779551.0,1548779549.0,1.557,364.0,1330.0,udp,10.10.12.1,5204
1,m1,50900000.0,12100000.0,10.10.15.248,56184,1548779553.0,1548779551.0,0.235,1.0,1554.0,udp,10.10.12.1,5204
2,m1,48000000.0,11400000.0,10.10.15.248,56184,1548779555.0,1548779553.0,0.515,0.0,1464.0,udp,10.10.12.1,5204
3,m1,46800000.0,11200000.0,10.10.15.248,56184,1548779557.0,1548779555.0,1.633,6.0,1434.0,udp,10.10.12.1,5204
4,m1,48000000.0,11500000.0,10.10.15.248,56184,1548779559.0,1548779557.0,1.552,0.0,1466.0,udp,10.10.12.1,5204
5,m1,48300000.0,11500000.0,10.10.15.248,56184,1548779561.0,1548779559.0,1.129,1.0,1476.0,udp,10.10.12.1,5204
6,m1,48200000.0,11500000.0,10.10.15.248,56184,1548779563.0,1548779561.0,0.976,0.0,1470.0,udp,10.10.12.1,5204
7,m1,47700000.0,11400000.0,10.10.15.248,56184,1548779565.0,1548779563.0,0.641,0.0,1456.0,udp,10.10.12.1,5204
8,m1,28800000.0,6880000.0,10.10.15.248,56184,1548779567.0,1548779565.0,1.93,426.0,1306.0,udp,10.10.12.1,5204
9,m1,42400000.0,10100000.0,10.10.15.248,56184,1548779569.0,1548779567.0,1.357,137.0,1431.0,udp,10.10.12.1,5204
10,m1,21000000.0,5000000.0,10.10.15.248,56184,1548779571.0,1548779569.0,3.383,423.0,1063.0,udp,10.10.12.1,5204
11,m1,1150000.0,280000.0,10.10.15.248,56184,1548779573.0,1548779571.0,51.599,45.0,80.0,udp,10.10.12.1,5204
12,m1,0.0,0.0,10.10.15.248,56184,1548779575.0,1548779573.0,51.599,0.0,0.0,udp,10.10.12.1,5204
13,m1,0.0,0.0,10.10.15.248,56184,1548779577.0,1548779575.0,51.599,0.0,0.0,udp,10.10.12.1,5204
14,m1,0.0,0.0,10.10.15.248,56184,1548779579.0,1548779577.0,51.599,0.0,0.0,udp,10.10.12.1,5204
15,m1,0.0,0.0,10.10.15.248,56184,1548779581.0,1548779579.0,51.599,0.0,0.0,udp,10.10.12.1,5204
16,m1,197000.0,48000.0,10.10.15.248,56184,1548779583.0,1548779581.0,134.147,9435.0,9441.0,udp,10.10.12.1,5204
17,m1,1080000.0,264000.0,10.10.15.248,56184,1548779585.0,1548779583.0,60.498,0.0,33.0,udp,10.10.12.1,5204
18,m1,950000.0,232000.0,10.10.15.248,56184,1548779587.0,1548779585.0,65.178,0.0,29.0,udp,10.10.12.1,5204
19,m1,2560000.0,624000.0,10.10.15.248,56184,1548779589.0,1548779587.0,23.839,0.0,78.0,udp,10.10.12.1,5204
20,m1,2029999.9999999998,496000.0,10.10.15.248,56184,1548779591.0,1548779589.0,117.145,4280.0,4342.0,udp,10.10.12.1,5204
21,m1,852000.0,208000.0,10.10.15.248,56184,1548779593.0,1548779591.0,53.995,1044.0,1070.0,udp,10.10.12.1,5204
22,m1,1020000.0,248000.0,10.10.15.248,56184,1548779595.0,1548779593.0,32.95,1046.0,1077.0,udp,10.10.12.1,5204
23,m1,15200000.0,3620000.0,10.10.15.248,56184,1548779597.0,1548779595.0,4.905,4061.0,4524.0,udp,10.10.12.1,5204
