,timestamp,freq,noise,cat,cbt,crt,ctt,ch-util,id,mac-addr
0,1548782636,5240,-102,16443,14165,0,888,58.17091454272864,ap4,78:8a:20:58:25:74
1,1548782638,5240,-102,18443,15453,0,787,64.4,ap4,78:8a:20:58:25:74
2,1548782640,5240,-102,20443,17361,0,1087,95.39999999999999,ap4,78:8a:20:58:25:74
3,1548782642,5240,-102,23443,20226,0,1925,95.5,ap4,78:8a:20:58:25:74
4,1548782644,5240,-102,25443,22136,0,1818,95.5,ap4,78:8a:20:58:25:74
5,1548782646,5240,-102,27443,24045,0,1711,95.45,ap4,78:8a:20:58:25:74
6,1548782649,5240,-102,29443,25879,0,1554,91.7,ap4,78:8a:20:58:25:74
7,1548782651,5240,-102,31443,27789,0,1495,95.5,ap4,78:8a:20:58:25:74
8,1548782653,5240,-102,33443,29698,0,1397,95.45,ap4,78:8a:20:58:25:74
9,1548782655,5240,-102,35443,31608,0,1288,95.5,ap4,78:8a:20:58:25:74
10,1548782657,5240,-102,37443,33519,0,1182,95.55,ap4,78:8a:20:58:25:74
11,1548782659,5240,-102,39443,35344,0,1000,91.25,ap4,78:8a:20:58:25:74
12,1548782661,5240,-102,42443,38207,0,1924,95.43333333333334,ap4,78:8a:20:58:25:74
13,1548782663,5240,-102,44443,39903,0,1610,84.8,ap4,78:8a:20:58:25:74
14,1548782665,5240,-102,46443,41759,0,1700,92.80000000000001,ap4,78:8a:20:58:25:74
15,1548782668,5240,-102,48443,43619,0,1555,93.0,ap4,78:8a:20:58:25:74
16,1548782672,5240,-102,28040,25342,0,1375,89.57996373082389,ap4,78:8a:20:58:25:74
17,1548782674,5240,-102,30040,27217,0,1269,93.75,ap4,78:8a:20:58:25:74
18,1548782676,5240,-102,32041,29112,0,1162,94.70264867566218,ap4,78:8a:20:58:25:74
19,1548782678,5240,-102,34040,31020,0,1074,95.44772386193097,ap4,78:8a:20:58:25:74
20,1548782680,5240,-102,37041,33840,0,1865,93.9686771076308,ap4,78:8a:20:58:25:74
21,1548782682,5240,-102,39041,35711,0,1786,93.55,ap4,78:8a:20:58:25:74
