time,lon,lat,alt,speed,epx,epy,epv,eps
1527011948,-8.594967241,41.178480267,142.235,0.357,1.852,4.127,8.388,8.25
1527011951,-8.594981903,41.178435632,144.864,0.283,1.852,4.127,8.388,8.25
1527011954,-8.595001908,41.17841536,145.919,0.083,7.407,16.509,33.554,33.02
1527011957,-8.595000127,41.178416275,147.322,0.083,7.407,16.509,33.554,33.02
1527011960,-8.595000127,41.178423052,147.98,0.083,7.407,16.509,33.554,33.02
1527011963,-8.594998346,41.178423967,149.383,0.083,7.407,16.509,33.554,33.02
1527011966,-8.594998346,41.178423967,149.383,0.083,7.407,16.509,33.554,33.02
1527011969,-8.594998346,41.178430744,150.041,0.176,7.407,16.509,33.554,33.02
1527011972,-8.594998346,41.178437521,150.699,0.0,7.407,16.509,33.554,33.02
1527011975,-8.594998346,41.178437521,150.699,0.0,7.407,16.509,33.554,33.02
1527011978,-8.594996565,41.17843166,151.444,0.083,7.407,16.509,33.554,33.02
1527011981,-8.594996565,41.17843166,151.444,0.0,7.407,16.509,33.554,33.02
1527011984,-8.594998346,41.178437521,150.699,0.0,7.407,16.509,33.554,33.02
1527011987,-8.594988343,41.178444269,149.843,0.141,7.407,16.509,33.554,33.02
1527011990,-8.594991906,41.178449216,147.696,0.094,7.407,16.509,33.554,33.02
1527011993,-8.594981903,41.178455963,146.839,0.141,7.407,16.509,33.554,33.02
1527011996,-8.594985465,41.178467687,145.351,0.141,7.407,16.509,33.554,33.02
1527011999,-8.594975462,41.178474435,144.494,0.094,7.407,16.509,33.554,33.02
1527012002,-8.594977244,41.178480296,143.75,0.0,7.407,16.509,33.554,33.02
1527012005,-8.594969022,41.178499683,142.807,0.0,7.407,16.509,33.554,33.02
1527012008,-8.594959019,41.178506431,141.951,0.215,7.407,16.509,33.554,33.02
1527012011,-8.5949608,41.178512292,141.206,0.0,7.407,16.509,33.554,33.02
1527012014,-8.594950798,41.178525817,141.008,0.215,7.407,16.509,33.554,33.02
1527012017,-8.594952579,41.178538456,140.922,0.0,7.407,16.509,33.554,33.02
1527012020,-8.59495436,41.178544318,140.178,0.0,7.407,16.509,33.554,33.02
1527012023,-8.594944357,41.178557843,139.98,0.0,7.407,16.509,33.554,33.02
1527012026,-8.594946138,41.178563704,139.236,0.0,7.407,16.509,33.554,33.02
1527012029,-8.594947919,41.178576343,139.15,0.0,7.407,16.509,33.554,33.02
1527012032,-8.594937917,41.178583091,138.293,0.0,7.407,16.509,33.554,33.02
1527012035,-8.594939698,41.17859573,138.207,0.0,7.407,16.509,33.554,33.02
1527012038,-8.594927914,41.178596616,138.095,0.0,7.407,16.509,33.554,33.02
1527012041,-8.594929695,41.178609255,138.009,0.0,7.407,16.509,33.554,33.02
1527012044,-8.594929695,41.178609255,138.009,0.0,7.407,16.509,33.554,33.02
1527012047,-8.594929695,41.178609255,138.009,0.0,7.407,16.509,33.554,33.02
1527012050,-8.594929695,41.178609255,138.009,0.0,7.407,16.509,33.554,33.02
1527012053,-8.594917912,41.178610141,137.897,0.0,7.407,16.509,33.554,33.02
1527012056,-8.594917912,41.178610141,137.897,0.0,7.407,16.509,33.554,33.02
1527012059,-8.594917912,41.178616918,138.555,0.0,7.407,16.509,33.554,33.02
1527012062,-8.594917912,41.178616918,138.555,0.083,7.407,16.509,33.554,33.02
1527012065,-8.594917912,41.178616918,138.555,0.094,7.407,16.509,33.554,33.02
1527012068,-8.594917912,41.178616918,138.555,0.176,7.407,16.509,33.554,33.02
1527012071,-8.59491613,41.178611056,139.299,0.083,7.407,16.509,33.554,33.02
1527012074,-8.594914349,41.178605194,140.043,0.083,7.407,16.509,33.554,33.02
1527012077,-8.594914349,41.178598417,139.385,0.083,7.407,16.509,33.554,33.02
1527012080,-8.594924352,41.178584892,139.583,0.094,7.407,16.509,33.554,33.02
1527012083,-8.594922571,41.17857903,140.327,0.083,7.407,16.509,33.554,33.02
1527012086,-8.594922571,41.178572253,139.669,0.094,7.407,16.509,33.554,33.02
1527012089,-8.59492079,41.178559615,139.755,0.083,7.407,16.509,33.554,33.02
1527012092,-8.594930793,41.17854609,139.953,0.0,7.407,16.509,33.554,33.02
1527012095,-8.594929012,41.178540228,140.697,0.083,7.407,16.509,33.554,33.02
1527012098,-8.594927231,41.178527589,140.783,0.167,7.407,16.509,33.554,33.02
1527012101,-8.594937233,41.178514064,140.982,0.167,7.407,16.509,33.554,33.02
1527012104,-8.594935452,41.178508203,141.726,0.167,7.407,16.509,33.554,33.02
1527012107,-8.594935452,41.178508203,141.726,0.083,7.407,16.509,33.554,33.02
