senderId,receiverId,systime,receiverDist,receiverX,receiverY,receiverAlt,receiverSpeed,channelFreq,channelBw,channelUtil,isInLap,isIperfOn,rssiMean,dataRateMean,nBytesReceived
ap1,w2,1548778993,,,,,,2437,20,,0.0,0.0,-100.0,0.0,0
ap1,w2,1548778994,,,,,,2437,20,,0.0,0.0,-100.0,0.0,0
ap1,w2,1548778995,,,,,,2437,20,,0.0,0.0,-100.0,0.0,0
ap1,w2,1548778996,,,,,,2437,20,,0.0,0.0,-100.0,0.0,0
ap1,w2,1548778997,,,,,,2437,20,,0.0,0.0,-100.0,0.0,0
ap1,w2,1548778998,,,,,,2437,20,,0.0,0.0,-100.0,0.0,0
ap1,w2,1548778999,,,,,,2437,20,,0.0,1.0,-49.709677,67.159245,565092
ap1,w2,1548779000,,,,,,2437,20,,0.0,1.0,-50.57047,71.866091,3727280
ap1,w2,1548779001,,,,,,2437,20,,0.0,1.0,-50.572414,71.10374300000001,3387227
ap1,w2,1548779002,,,,,,2437,20,,0.0,1.0,-50.812081,71.87632099999999,3301398
ap1,w2,1548779003,,,,,,2437,20,,0.0,1.0,-50.336,66.628197,2780274
ap1,w2,1548779004,,,,,,2437,20,,0.0,1.0,-49.732673,66.287076,2392455
ap1,w2,1548779005,,,,,,2437,20,,0.0,1.0,-50.516667,69.448891,2596648
ap1,w2,1548779006,,,,,,2437,20,,0.0,1.0,-50.767742,71.124539,3436427
ap1,w2,1548779007,22.703271209817114,21.984534547378736,-5.667385998411625,123.8,0.0,2437,20,,0.0,1.0,-50.31746,69.64398,3069260
ap1,w2,1548779008,22.701619385109574,21.98319546566217,-5.665963230726365,123.8,0.0,2437,20,,0.0,1.0,-50.091603000000006,66.493647,2965891
ap1,w2,1548779009,22.701619385109574,21.981103153542975,-5.664582308135587,123.8,0.0,2437,20,87.44650499286733,0.0,1.0,-50.664,71.568399,2845807
ap1,w2,1548779010,22.696877944491177,21.979010841423783,-5.6632013855448085,123.8,0.0,2437,20,87.62860622492315,0.0,1.0,-50.362069,70.163967,2764597
ap1,w2,1548779011,22.69514519633977,21.977588067291823,-5.6617786172659645,123.8,0.0,2437,20,87.81070745697895,0.0,1.0,-50.305085,71.031094,2703666
ap1,w2,1548779012,22.690737953540502,21.97340344842718,-5.660355848987492,123.8,0.0,2437,20,86.87819794001877,0.0,1.0,-50.336364,69.769858,2424030
ap1,w2,1548779013,22.688063433856712,21.97064160384242,-5.660355848987492,123.8,0.0,2437,20,85.94568842305858,0.0,1.0,-49.70297,63.55042099999999,2048699
ap1,w2,1548779014,22.688063433856712,21.96854930011292,-5.661067233126728,123.8,0.0,2437,20,86.1676866184061,0.0,1.0,-50.316327,68.80906,2181382
ap1,w2,1548779015,22.684366239914063,21.966456996383414,-5.6617786172659645,123.8,0.0,2437,20,86.38968481375359,0.0,1.0,-49.275591,66.103864,2746024
ap1,w2,1548779016,22.684721392472483,21.9664570020848,-5.6632013855448085,123.7,0.0,2437,20,84.6200205541452,0.0,1.0,-49.870968,67.898013,2920446
ap1,w2,1548779017,22.6854110453374,21.96645701315219,-5.665963230726365,123.7,0.0,2437,20,82.85035629453681,0.0,1.0,-49.985507,64.59694,1499304
ap1,w2,1548779018,22.686101013320584,21.966457024219565,-5.6687250753146445,123.7,0.0,2437,20,84.93353136922545,0.0,1.0,-50.192661,70.29714200000001,2499907
ap1,w2,1548779019,22.686101013320584,21.966457032603948,-5.670817381750162,123.75,0.0,2437,20,87.01670644391409,0.0,1.0,-49.465649,67.12715899999999,2729451
ap1,w2,1548779020,22.68714701997025,21.96645704098833,-5.672909688185679,123.8,0.0,2437,20,87.52260500342973,0.0,1.0,-49.78125,68.662624,2640170
ap1,w2,1548779021,22.687502827045392,21.966457046689715,-5.67433245646741,123.8,0.0,2437,20,88.02850356294536,0.0,1.0,-50.579365,71.21285999999999,2910972
ap1,w2,1548779022,22.687502827045392,21.966457052223408,-5.675713378763657,123.8,0.0,2437,20,87.50496224832692,0.0,1.0,-50.220471999999994,65.876492,2982355
ap1,w2,1548779023,22.688193750206537,21.9664570577571,-5.677094301059903,123.8,0.0,2437,20,87.76673290563613,0.0,1.0,-50.028302000000004,69.195948,2371457
ap1,w2,1548779024,22.688193750206537,21.967837985755793,-5.678517069342907,123.8,0.0,2437,20,87.24319159101769,0.0,1.0,-49.234848,65.49665300000001,2905592
ap1,w2,1548779025,22.691579851054982,21.96921891375448,-5.679939837625911,123.8,0.0,2437,20,86.66872598682943,0.0,1.0,-50.210526,70.23340300000001,3171683
ap1,w2,1548779026,22.69260125564287,21.970641676632727,-5.678517069342724,123.8,0.0,2437,20,86.09426038264117,0.0,1.0,-49.798165000000004,67.83936899999999,2272411
ap1,w2,1548779027,22.69260125564287,21.970641676632727,-5.678517069342724,123.8,0.0,2437,20,86.14646161443424,0.0,1.0,-50.373913,68.988156,2597793
ap1,w2,1548779028,22.69086774520403,21.96921890235029,-5.677094301059903,123.8,0.0,2437,20,86.19866284622732,0.0,1.0,-49.782609,68.9571,3462967
ap1,w2,1548779029,22.687502827045392,21.966457046689715,-5.67433245646741,123.8,0.0,2437,20,85.43076542121432,0.0,1.0,-50.114286,71.679694,2816211
ap1,w2,1548779030,22.687502827045392,21.966457041156023,-5.672951534171858,123.8,0.0,2437,20,84.66286799620133,0.0,1.0,-50.375,69.795707,2396896
ap1,w2,1548779031,22.686812219063768,21.96645703562233,-5.671570611876307,123.8,0.0,2437,20,82.12588906502226,0.0,1.0,-49.411765,61.295187,1622036
ap1,w2,1548779032,22.686812219063768,21.96645703562233,-5.671570611876307,123.8,0.0,2437,20,79.5889101338432,0.0,1.0,-50.111111,70.100494,2436496
ap1,w2,1548779033,22.686812219063768,21.963653333590724,-5.668766921301335,123.8,0.0,2437,20,79.93228776654138,0.0,1.0,-50.436364000000005,69.99476,2826756
ap1,w2,1548779034,22.679981423709354,21.960849631559118,-5.665963230726365,123.8,0.0,2437,20,80.27566539923954,0.0,1.0,-49.892157,67.67607199999999,2451071
ap1,w2,1548779035,22.679981423709354,21.96013825012035,-5.666674614568995,123.8,0.0,2437,20,78.88604101304547,0.0,1.0,-50.196078,66.457755,2285031
ap1,w2,1548779036,22.678959277341303,21.95942686868159,-5.667385998411625,123.8,0.0,2437,20,77.4964166268514,0.0,1.0,-48.540541,61.096647,2440665
ap1,w2,1548779037,22.678959277341303,21.958757336207746,-5.668766921003458,123.8,0.0,2437,20,79.15753720442999,0.0,1.0,-50.2,68.051475,1828186
ap1,w2,1548779038,22.678353066965183,21.958087803733907,-5.6701478435952914,123.8,0.0,2437,20,80.81865778200856,0.0,1.0,-50.418803000000004,71.65146999999999,2684205
ap1,w2,1548779039,22.678353066965183,21.958087803733907,-5.6701478435952914,123.8,0.0,2437,20,83.38256024855687,0.0,1.0,-50.393443,69.51540200000001,2886673
ap1,w2,1548779040,22.682764794669446,21.96084967615264,-5.677094301059903,123.8,0.0,2437,20,85.94646271510517,0.0,1.0,-50.465753,70.558879,3263692
ap1,w2,1548779041,22.684854599565746,21.962272455984525,-5.679939837625911,123.8,0.0,2437,20,84.25192757804187,0.0,1.0,-50.303922,70.779127,2414220
ap1,w2,1548779042,22.691942265840375,21.96779617316029,-5.686886295697605,123.8,0.0,2437,20,85.09919514657352,0.0,1.0,-50.083333,67.27699,2172973
ap1,w2,1548779043,22.691942265840375,21.9692189555892,-5.690359524737854,123.8,0.0,2437,20,83.40466000951022,0.0,1.0,-50.028571,69.03917,2285383
ap1,w2,1548779044,22.696438672564007,21.970641738018106,-5.693832753778103,123.8,0.0,2437,20,84.5116945532501,0.0,1.0,-49.672727,65.79041,2275969
ap1,w2,1548779045,22.69982615092359,21.973403594026088,-5.6966782903527955,123.7,0.0,2437,20,85.61872909698997,0.0,1.0,-50.0,65.831576,3001783
ap1,w2,1548779046,22.69982615092359,21.97478452471571,-5.698770597096317,123.7,0.0,2437,20,85.97500289685757,0.0,1.0,-50.610169,69.901953,2601010
ap1,w2,1548779047,22.703550024375645,21.976165455405326,-5.7008629038398375,123.7,0.0,2437,20,86.3312766967252,0.0,1.0,-49.767441999999996,64.712257,2940456
ap1,w2,1548779048,22.70526347251629,21.977588229360194,-5.7022019801563655,123.7,0.0,2437,20,86.80200198472623,0.0,1.0,-50.476821,71.246488,3423662
ap1,w2,1548779049,22.7096712890072,21.9817728481092,-5.7036247484457006,123.7,0.0,2437,20,87.27272727272727,0.0,1.0,-49.681818,68.005013,3146293
ap1,w2,1548779050,22.71140581268107,21.98319562240178,-5.705047516735403,123.7,0.0,2437,20,87.03914141414141,0.0,1.0,-50.57265,71.285046,2975425
ap1,w2,1548779051,22.71140581268107,21.98528792607129,-5.7043361325905515,123.7,0.0,2437,20,86.80555555555556,0.0,1.0,-50.162393,66.733407,2525157
ap1,w2,1548779052,22.715098978863143,21.9873802297408,-5.7036247484457006,123.7,0.0,2437,20,86.12701441899915,0.0,1.0,-49.935484,68.246756,3057869
ap1,w2,1548779053,22.715098978863143,21.988761146578753,-5.7022438261427695,123.7,0.0,2437,20,85.44847328244275,0.0,1.0,-50.027522999999995,63.93679300000001,2576312
ap1,w2,1548779054,22.71707910177177,21.990142063416705,-5.7008629038398375,123.7,0.0,2437,20,85.37758899500169,0.0,1.0,-50.586207,71.458088,2884029
ap1,w2,1548779055,22.71809935961909,21.991564826146284,-5.699440134956549,123.7,0.0,2437,20,85.30670470756063,0.0,1.0,-50.092593,70.745131,2530102
