systime,senderId,receiverId,channelFreq,channelBw,isDataReceived,rssiMean,dataRateMean,nBytesReceived
1548778993,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548778993,ap2,m1,5190,40,1,-55.166667,82.000000,1248
1548778993,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548778993,ap1,w2,2437,20,0,-100.000000,0.000000,0
1548778994,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548778994,ap2,m1,5190,40,1,-57.792161,148.783172,3946486
1548778994,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548778994,ap1,w2,2437,20,0,-100.000000,0.000000,0
1548778995,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548778995,ap2,m1,5190,40,1,-57.120149,144.303918,3856154
1548778995,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548778995,ap1,w2,2437,20,0,-100.000000,0.000000,0
1548778996,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548778996,ap2,m1,5190,40,0,-100.000000,0.000000,0
1548778996,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548778996,ap1,w2,2437,20,0,-100.000000,0.000000,0
1548778997,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548778997,ap2,m1,5190,40,0,-100.000000,0.000000,0
1548778997,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548778997,ap1,w2,2437,20,0,-100.000000,0.000000,0
1548778998,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548778998,ap2,m1,5190,40,0,-100.000000,0.000000,0
1548778998,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548778998,ap1,w2,2437,20,1,-50.705882,17.699353,1647
1548778999,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548778999,ap2,m1,5190,40,1,-54.727273,75.818182,1141
1548778999,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548778999,ap1,w2,2437,20,1,-50.240385,28.901173,571635
1548779000,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779000,ap2,m1,5190,40,1,-56.492308,146.545055,1253500
1548779000,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779000,ap1,w2,2437,20,1,-50.778502,33.272882,3736128
1548779001,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779001,ap2,m1,5190,40,1,-56.553691,150.000000,6266295
1548779001,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779001,ap1,w2,2437,20,1,-50.704467,34.356808,3396924
1548779002,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779002,ap2,m1,5190,40,1,-56.606696,149.950808,6326523
1548779002,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779002,ap1,w2,2437,20,1,-50.812500,35.834481,3313111
1548779003,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779003,ap2,m1,5190,40,1,-56.696310,149.977997,6287904
1548779003,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779003,ap1,w2,2437,20,1,-50.791339,32.102141,2787498
1548779004,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779004,ap2,m1,5190,40,1,-56.808958,149.980804,6304719
1548779004,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779004,ap1,w2,2437,20,1,-50.760504,28.253266,2400968
1548779005,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779005,ap2,m1,5190,40,1,-56.977288,149.876118,6276441
1548779005,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779005,ap1,w2,2437,20,1,-51.040816,33.052828,2605169
1548779006,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779006,ap2,m1,5190,40,1,-57.229643,149.714547,6289051
1548779006,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779006,ap1,w2,2437,20,1,-50.835125,38.023885,3444892
1548779007,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779007,ap2,m1,5190,40,1,-57.306207,149.939310,6265488
1548779007,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779007,ap1,w2,2437,20,1,-50.501961,33.599122,3076484
