,client-id,data-rate,data-volume,dst-addr,dst-port,interval-end,interval-start,jitter,pckt-lost,pckt-total,protocol,src-addr,src-port
0,m1,49900000.0,11900000.0,10.10.15.248,53764,1548781271.0,1548781269.0,0.116,4.0,1526.0,udp,10.10.12.1,5204
1,m1,2390000.0,584000.0,10.10.15.248,48809,1548782188.0,1548782186.0,35.49,0.0,73.0,udp,10.10.12.1,5204
2,m1,1540000.0,376000.0,10.10.15.248,48809,1548782190.0,1548782188.0,28.353,39.0,86.0,udp,10.10.12.1,5204
3,m1,1280000.0,312000.0,10.10.15.248,48809,1548782192.0,1548782190.0,59.999,2245.0,2284.0,udp,10.10.12.1,5204
4,m1,917000.0,224000.0,10.10.15.248,48809,1548782194.0,1548782192.0,44.693,1347.0,1375.0,udp,10.10.12.1,5204
5,m1,885000.0,216000.0,10.10.15.248,48809,1548782196.0,1548782194.0,47.289,1497.0,1524.0,udp,10.10.12.1,5204
6,m1,1050000.0,256000.0,10.10.15.248,48809,1548782198.0,1548782196.0,38.203,1497.0,1529.0,udp,10.10.12.1,5204
7,m1,8750000.0,2089999.9999999998,10.10.15.248,48809,1548782200.0,1548782198.0,3.013,3279.0,3546.0,udp,10.10.12.1,5204
8,m1,18600000.0,4430000.0,10.10.15.248,48809,1548782202.0,1548782200.0,8.526,776.0,1343.0,udp,10.10.12.1,5204
9,m1,37600000.0,8970000.0,10.10.15.248,48809,1548782204.0,1548782202.0,0.839,815.0,1963.0,udp,10.10.12.1,5204
10,m1,50100000.0,12000000.0,10.10.15.248,48809,1548782206.0,1548782204.0,0.868,4.0,1534.0,udp,10.10.12.1,5204
11,m1,46500000.0,11100000.0,10.10.15.248,48809,1548782208.0,1548782206.0,1.546,54.0,1474.0,udp,10.10.12.1,5204
12,m1,50400000.0,12000000.0,10.10.15.248,48809,1548782210.0,1548782208.0,1.164,2.0,1541.0,udp,10.10.12.1,5204
13,m1,50100000.0,12000000.0,10.10.15.248,48809,1548782212.0,1548782210.0,0.444,8.0,1538.0,udp,10.10.12.1,5204
14,m1,50700000.0,12100000.0,10.10.15.248,48809,1548782214.0,1548782212.0,0.515,7.0,1553.0,udp,10.10.12.1,5204
15,m1,43800000.0,10400000.0,10.10.15.248,48809,1548782216.0,1548782214.0,2.238,71.0,1408.0,udp,10.10.12.1,5204
16,m1,21600000.0,5150000.0,10.10.15.248,48809,1548782218.0,1548782216.0,5.949,700.0,1359.0,udp,10.10.12.1,5204
17,m1,1970000.0,480000.0,10.10.15.248,48809,1548782220.0,1548782218.0,40.364,160.0,220.0,udp,10.10.12.1,5204
18,m1,1180000.0,288000.0,10.10.15.248,48809,1548782222.0,1548782220.0,59.572,48.0,84.0,udp,10.10.12.1,5204
19,m1,590000.0,144000.0,10.10.15.248,48809,1548782224.0,1548782222.0,87.32,125.0,143.0,udp,10.10.12.1,5204
20,m1,819000.0,200000.0,10.10.15.248,48809,1548782226.0,1548782224.0,70.2,1646.0,1671.0,udp,10.10.12.1,5204
21,m1,4750000.0,1130000.0,10.10.15.248,48809,1548782228.0,1548782226.0,2.943,5417.0,5562.0,udp,10.10.12.1,5204
22,m1,21900000.0,5230000.0,10.10.15.248,48809,1548782230.0,1548782228.0,4.756,822.0,1491.0,udp,10.10.12.1,5204
23,m1,1640000.0,400000.0,10.10.15.248,48809,1548782232.0,1548782230.0,54.145,99.0,149.0,udp,10.10.12.1,5204
24,m1,1340000.0,328000.0,10.10.15.248,48809,1548782234.0,1548782232.0,44.425,242.0,283.0,udp,10.10.12.1,5204
25,m1,983000.0,240000.0,10.10.15.248,48809,1548782236.0,1548782234.0,83.523,1334.0,1364.0,udp,10.10.12.1,5204
26,m1,1540000.0,376000.0,10.10.15.248,48809,1548782238.0,1548782236.0,69.448,2857.0,2904.0,udp,10.10.12.1,5204
27,m1,1280000.0,312000.0,10.10.15.248,48809,1548782240.0,1548782238.0,36.325,887.0,926.0,udp,10.10.12.1,5204
28,m1,327000.0,80000.0,10.10.15.248,48809,1548782242.0,1548782240.0,34.22,183.0,193.0,udp,10.10.12.1,5204
29,m1,17400000.0,4139999.9999999995,10.10.15.248,48809,1548782244.0,1548782242.0,2.324,4127.0,4657.0,udp,10.10.12.1,5204
30,m1,31200000.0,7430000.0,10.10.15.248,48809,1548782246.0,1548782244.0,0.368,724.0,1675.0,udp,10.10.12.1,5204
31,m1,47800000.0,11400000.0,10.10.15.248,48809,1548782248.0,1548782246.0,0.984,4.0,1462.0,udp,10.10.12.1,5204
32,m1,47900000.0,11400000.0,10.10.15.248,48809,1548782250.0,1548782248.0,0.765,0.0,1463.0,udp,10.10.12.1,5204
33,m1,47900000.0,11400000.0,10.10.15.248,48809,1548782252.0,1548782250.0,0.367,0.0,1461.0,udp,10.10.12.1,5204
34,m1,46500000.0,11100000.0,10.10.15.248,48809,1548782254.0,1548782252.0,2.146,3.0,1421.0,udp,10.10.12.1,5204
