,timestamp,server,stratum,delta,poll-freq,id,mac-addr
0,1548782606.336228,radio,1,8,16,b1,
1,1548782611.347016,radio,1,8,16,b1,
2,1548782616.360481,radio,1,8,16,b1,
3,1548782621.37323,radio,1,11,16,b1,
4,1548782626.3866339,radio,1,11,16,b1,
5,1548782631.396234,radio,1,11,16,b1,
6,1548782636.407993,radio,1,6,16,b1,
7,1548782641.4188929,radio,1,6,16,b1,
8,1548782646.4299119,radio,1,6,16,b1,
9,1548782651.441306,radio,1,6,16,b1,
10,1548782656.451214,radio,1,7,16,b1,
11,1548782661.463984,radio,1,7,16,b1,
12,1548782666.476246,radio,1,7,16,b1,
13,1548782671.4886632,radio,1,18,16,b1,
14,1548782676.499656,radio,1,18,16,b1,
15,1548782681.511654,radio,1,18,16,b1,
16,1548782686.522715,radio,1,9,16,b1,
17,1548782691.535106,radio,1,9,16,b1,
18,1548782696.547942,radio,1,9,16,b1,
19,1548782701.558462,radio,1,9,16,b1,
20,1548782706.571265,radio,1,9,16,b1,
21,1548782711.582383,radio,1,9,16,b1,
22,1548782716.594233,radio,1,13,16,b1,
23,1548782721.6056108,radio,1,13,16,b1,
24,1548782726.616844,radio,1,13,16,b1,
25,1548782731.629412,radio,1,13,16,b1,
26,1548782736.63999,radio,1,14,16,b1,
27,1548782741.649809,radio,1,14,16,b1,
28,1548782746.661274,radio,1,14,16,b1,
29,1548782751.6707811,radio,1,9,16,b1,
30,1548782756.6828868,radio,1,9,16,b1,
31,1548782761.695513,radio,1,9,16,b1,
32,1548782766.7089882,radio,1,18,16,b1,
33,1548782771.721525,radio,1,18,16,b1,
34,1548782776.733426,radio,1,18,16,b1,
35,1548782781.743511,radio,1,3,16,b1,
36,1548782786.754744,radio,1,3,16,b1,
37,1548782791.767134,radio,1,3,16,b1,
38,1548782796.779528,radio,1,4,16,b1,
39,1548782801.787106,radio,1,5,16,b1,
40,1548782806.799479,radio,1,5,16,b1,
41,1548782811.811878,radio,1,5,16,b1,
42,1548782816.824657,radio,1,9,16,b1,
43,1548782821.834733,radio,1,9,16,b1,
44,1548782826.845838,radio,1,9,16,b1,
45,1548782831.858324,radio,1,9,16,b1,
46,1548782836.87041,radio,1,9,16,b1,
47,1548782841.88243,radio,1,9,16,b1,
48,1548782846.894556,radio,1,12,16,b1,
49,1548782851.907008,radio,1,12,16,b1,
50,1548782856.920263,radio,1,12,16,b1,
51,1548782861.9302619,radio,1,7,16,b1,
52,1548782866.943109,radio,1,7,16,b1,
53,1548782871.955392,radio,1,7,16,b1,
54,1548782876.968329,radio,1,14,16,b1,
55,1548782881.977351,radio,1,14,16,b1,
56,1548782886.988483,radio,1,14,16,b1,
57,1548782891.998955,radio,1,14,16,b1,
58,1548782897.010756,radio,1,21,16,b1,
59,1548782902.018073,radio,1,21,16,b1,
60,1548782907.030819,radio,1,21,16,b1,
61,1548782589.484541,radio,1,4,16,b1,
62,1548782594.496613,radio,1,4,16,b1,
63,1548782599.506964,radio,1,4,16,b1,
64,1548782539.189282,radio,1,5,16,b1,
65,1548782544.19875,radio,1,6,16,b1,
66,1548782549.207073,radio,1,6,16,b1,
67,1548782554.219332,radio,1,6,16,b1,
68,1548782559.230728,radio,1,11,16,b1,
69,1548782564.242209,radio,1,11,16,b1,
70,1548782569.249771,radio,1,11,16,b1,
71,1548782574.2594311,radio,1,7,16,b1,
72,1548782579.271856,radio,1,7,16,b1,
73,1548782584.28297,radio,1,8,16,b1,
74,1548782497.600128,radio,1,7,16,b1,
75,1548782502.611876,radio,1,7,16,b1,
76,1548782507.621464,radio,1,7,16,b1,
77,1548782512.633678,radio,1,7,16,b1,
78,1548782517.6459801,radio,1,7,16,b1,
79,1548782522.658192,radio,1,7,16,b1,
80,1548782527.665226,radio,1,5,16,b1,
81,1548782532.675493,radio,1,5,16,b1,
82,1548782444.424092,radio,1,9,16,b1,
83,1548782449.4366632,radio,1,9,16,b1,
84,1548782454.448947,radio,1,9,16,b1,
85,1548782459.457902,radio,1,9,16,b1,
86,1548782464.470441,radio,1,8,16,b1,
87,1548782469.4825358,radio,1,8,16,b1,
88,1548782474.49361,radio,1,8,16,b1,
89,1548782479.505701,radio,1,7,16,b1,
90,1548782484.514966,radio,1,7,16,b1,
91,1548782489.5264359,radio,1,7,16,b1,
92,1548782494.534803,radio,1,7,16,b1,
93,1548782389.1411269,radio,1,15,16,b1,
94,1548782394.1530972,radio,1,15,16,b1,
95,1548782399.165271,radio,1,3,16,b1,
96,1548782404.177593,radio,1,3,16,b1,
97,1548782409.190382,radio,1,3,16,b1,
98,1548782414.1998599,radio,1,9,16,b1,
99,1548782419.211541,radio,1,9,16,b1,
100,1548782424.222311,radio,1,9,16,b1,
101,1548782429.2308009,radio,1,3,16,b1,
102,1548782434.242334,radio,1,3,16,b1,
103,1548782439.25097,radio,1,3,16,b1,
104,1548782287.45045,radio,1,9,16,b1,
105,1548782292.463005,radio,1,9,16,b1,
106,1548782297.4749699,radio,1,9,16,b1,
107,1548782302.486005,radio,1,6,16,b1,
108,1548782307.4956849,radio,1,6,16,b1,
109,1548782312.5028381,radio,1,6,16,b1,
110,1548782317.510688,radio,1,10,16,b1,
111,1548782322.52378,radio,1,10,16,b1,
112,1548782327.535183,radio,1,10,16,b1,
113,1548782332.5480368,radio,1,9,16,b1,
114,1548782337.558564,radio,1,9,16,b1,
115,1548782342.570413,radio,1,9,16,b1,
116,1548782347.583062,radio,1,9,16,b1,
117,1548782352.5962858,radio,1,12,16,b1,
118,1548782357.608617,radio,1,12,16,b1,
119,1548782362.6208231,radio,1,12,16,b1,
120,1548782367.6344051,radio,1,10,16,b1,
121,1548782372.642885,radio,1,10,16,b1,
122,1548782377.655304,radio,1,10,16,b1,
123,1548782382.667521,radio,1,15,16,b1,
124,1548782186.136198,radio,1,10,16,b1,
125,1548782191.148452,radio,1,11,16,b1,
126,1548782196.160263,radio,1,11,16,b1,
127,1548782201.1709769,radio,1,11,16,b1,
128,1548782206.1824481,radio,1,6,16,b1,
129,1548782211.1956868,radio,1,6,16,b1,
130,1548782216.2081661,radio,1,6,16,b1,
131,1548782221.221125,radio,1,4,16,b1,
132,1548782226.22994,radio,1,4,16,b1,
133,1548782231.24145,radio,1,4,16,b1,
134,1548782236.250632,radio,1,4,16,b1,
135,1548782241.26267,radio,1,7,16,b1,
136,1548782246.275283,radio,1,7,16,b1,
137,1548782251.2868981,radio,1,7,16,b1,
