time,lon,lat,alt,speed,epx,epy,epv,eps
1509560597,-8.594529197,41.178265306,142.188,1.268,44.956,24.832,112.284,89.91
1509561102,-8.594679919,41.178273779,156.3,0.515,n/a,n/a,n/a,n/a
1509561106,-8.594717051,41.178270206,155.235,0.141,42.032,28.972,110.27,84.06
1509561109,-8.594717051,41.178263429,154.577,0.548,41.342,29.031,106.209,82.68
1509561112,-8.594717051,41.178263429,154.577,0.023,41.342,29.031,106.209,82.68
1509561115,-8.594705267,41.178264315,154.464,0.373,41.342,29.031,106.209,82.68
1509561118,-8.594718832,41.178262514,153.174,0.163,41.342,29.031,106.209,82.68
1509561121,-8.594730616,41.178254851,152.628,0.083,41.342,29.031,106.209,82.68
1509561124,-8.594720613,41.178261598,151.771,0.548,41.342,29.031,106.209,82.68
1509561127,-8.594732397,41.178260713,151.884,0.144,41.342,29.031,106.209,82.68
1509561130,-8.594745961,41.178258911,150.594,0.268,41.342,29.031,106.209,82.68
1509561133,-8.594745961,41.178252134,149.935,0.023,41.342,29.031,106.209,82.68
1509561136,-8.594722394,41.178253906,149.71,0.229,41.342,29.031,106.209,82.68
1509561139,-8.594724175,41.178259768,148.966,0.144,41.342,29.031,106.209,82.68
1509561142,-8.594698827,41.178262455,150.144,0.144,41.342,29.031,106.209,82.68
1509561145,-8.59467526,41.178264227,149.919,0.094,15.648,29.926,87.19,59.85
1509561146,-8.59467526,41.178264227,149.919,0.023,15.648,29.926,87.19,59.85
1509561148,-8.594677041,41.178270089,149.175,0.393,15.648,29.926,87.19,59.85
1509561149,-8.594677041,41.178270089,149.175,0.268,15.648,29.926,87.19,59.85
1509561151,-8.594688824,41.178262426,148.629,0.393,15.648,29.926,87.19,59.85
1509561152,-8.594688824,41.178269203,149.287,0.268,15.648,29.926,87.19,59.85
1509561154,-8.594677041,41.178276866,149.833,0.163,15.648,29.926,87.19,59.85
1509561155,-8.594688824,41.178269203,149.287,0.637,15.648,29.926,87.19,59.85
1509561157,-8.594714172,41.178266516,148.109,0.517,15.648,29.926,87.19,59.85
1509561158,-8.594712391,41.178267431,149.512,0.272,15.648,29.926,87.19,59.85
1509561160,-8.594700608,41.178275094,150.058,0.274,15.648,29.926,87.19,59.85
1509561161,-8.594688824,41.178282757,150.604,0.515,15.648,29.926,87.19,59.85
1509561163,-8.594698827,41.178282786,152.119,0.497,15.648,29.926,87.19,59.85
1509561164,-8.594698827,41.178289563,152.777,0.373,15.648,29.926,87.19,59.85
1509561166,-8.594697046,41.178290479,154.18,0.163,15.648,29.926,87.19,59.85
1509561168,-8.594685262,41.178298142,154.726,0.105,15.648,29.926,87.19,59.85
1509561169,-8.594683481,41.178299057,156.129,0.105,15.648,29.926,87.19,59.85
1509561171,-8.594658133,41.178308521,157.965,0.659,15.648,29.926,87.19,59.85
1509561172,-8.594646349,41.178316184,158.51,0.297,15.648,29.926,87.19,59.85
1509561174,-8.594644568,41.178317099,159.913,0.229,15.648,29.926,87.19,59.85
1509561175,-8.594644568,41.178323876,160.572,0.108,15.648,29.926,87.19,59.85
1509561177,-8.59461922,41.178326564,161.749,0.456,15.648,29.926,87.19,59.85
1509561178,-8.59461922,41.178333341,162.408,0.558,15.648,29.926,87.19,59.85
1509561180,-8.59461922,41.178333341,162.408,0.165,15.648,29.926,87.19,59.85
1509561181,-8.594631004,41.178332455,162.52,0.21,15.648,29.926,87.19,59.85
1509561183,-8.594641007,41.178332484,164.035,0.601,15.648,29.926,87.19,59.85
1509561184,-8.594641007,41.178332484,164.035,0.601,15.648,29.926,87.19,59.85
1509561186,-8.59465279,41.178331598,164.148,0.477,15.648,29.926,87.19,59.85
1509561187,-8.594664574,41.178330712,164.26,0.601,15.648,29.926,87.19,59.85
1509561189,-8.594664574,41.178330712,164.26,0.745,15.648,29.926,87.19,59.85
1509561190,-8.594676357,41.178329826,164.373,0.994,15.648,29.926,87.19,59.85
1509561192,-8.594701705,41.178333916,163.853,0.745,15.648,29.926,87.19,59.85
1509561193,-8.594701705,41.178327139,163.195,0.497,15.648,29.926,87.19,59.85
1509561195,-8.594713489,41.178326253,163.307,0.158,15.648,29.926,87.19,59.85
